2009-10-03 13:28:31 Notice: Notice (8): Undefined index: description in [APP/views/elements/admin_dish_form.ctp, line 6]
2009-10-03 13:28:39 Notice: Notice (8): Undefined property: Dish::$dgroups_id in [APP/controllers/dishes_controller.php, line 33]
2009-10-03 13:29:38 Notice: Notice (8): Undefined variable: dgroup_id in [APP/views/dishes/admin_index.ctp, line 3]
2009-10-03 13:30:07 Notice: Notice (8): Undefined variable: dgroup_id in [APP/views/dishes/admin_index.ctp, line 3]
2009-10-03 13:31:26 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 2]
2009-10-03 13:31:26 Notice: Notice (8): Undefined index: name in [APP/views/elements/admin_dish_form.ctp, line 3]
2009-10-03 13:31:26 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 4]
2009-10-03 13:31:26 Notice: Notice (8): Undefined index: description in [APP/views/elements/admin_dish_form.ctp, line 6]
2009-10-03 13:31:45 Notice: Notice (8): Undefined property: Dish::$dgroups_id in [APP/controllers/dishes_controller.php, line 33]
2009-10-03 13:32:57 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 2]
2009-10-03 13:32:57 Notice: Notice (8): Undefined index: name in [APP/views/elements/admin_dish_form.ctp, line 3]
2009-10-03 13:32:57 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 4]
2009-10-03 13:32:57 Notice: Notice (8): Undefined index: description in [APP/views/elements/admin_dish_form.ctp, line 6]
2009-10-03 13:33:08 Notice: Notice (8): Undefined index: dgroups_id in [APP/controllers/dishes_controller.php, line 33]
2009-10-03 13:34:08 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 2]
2009-10-03 13:34:08 Notice: Notice (8): Undefined index: name in [APP/views/elements/admin_dish_form.ctp, line 3]
2009-10-03 13:34:08 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 4]
2009-10-03 13:34:08 Notice: Notice (8): Undefined index: description in [APP/views/elements/admin_dish_form.ctp, line 6]
2009-10-03 13:43:12 Notice: Notice (8): Use of undefined constant DISH_IMAGES_UL - assumed 'DISH_IMAGES_UL' in [APP/views/dishes/admin_index.ctp, line 15]
2009-10-03 14:03:56 Notice: Notice (8): Undefined property: MenuController::$Dish in [APP/controllers/menu_controller.php, line 7]
2009-10-03 14:08:33 Notice: Notice (8): Undefined property: DishesController::$Dishes in [APP/controllers/dishes_controller.php, line 6]
2009-10-03 14:09:38 Notice: Notice (8): Undefined property: MenuController::$Dish in [APP/controllers/menu_controller.php, line 9]
2009-10-03 14:42:50 Notice: Notice (8): Undefined property: MenuController::$Dish in [APP/controllers/menu_controller.php, line 9]
2009-10-03 15:40:48 Notice: Notice (8): Undefined variable: dgroups_id in [APP/views/dishes/admin_index.ctp, line 3]
2009-10-03 16:00:41 Notice: Notice (8): Undefined variable: dgroups_id in [APP/views/dish/admin_index.ctp, line 3]
2009-10-03 16:00:41 Notice: Notice (8): Undefined variable: dishes in [APP/views/dish/admin_index.ctp, line 8]
2009-10-03 16:00:49 Notice: Notice (8): Undefined variable: dgroups_id in [APP/views/dish/admin_index.ctp, line 3]
2009-10-03 16:00:49 Notice: Notice (8): Undefined variable: dishes in [APP/views/dish/admin_index.ctp, line 8]
2009-10-03 16:00:50 Notice: Notice (8): Undefined variable: dgroups_id in [APP/views/dish/admin_index.ctp, line 3]
2009-10-03 16:00:50 Notice: Notice (8): Undefined variable: dishes in [APP/views/dish/admin_index.ctp, line 8]
2009-10-03 16:03:20 Notice: Notice (8): Undefined variable: dishes in [APP/views/dish/admin_index.ctp, line 8]
2009-10-03 16:03:54 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 2]
2009-10-03 16:03:54 Notice: Notice (8): Undefined index: name in [APP/views/elements/admin_dish_form.ctp, line 3]
2009-10-03 16:03:54 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 4]
2009-10-03 16:03:54 Notice: Notice (8): Undefined index: description in [APP/views/elements/admin_dish_form.ctp, line 6]
2009-10-03 16:03:54 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 2]
2009-10-03 16:03:54 Notice: Notice (8): Undefined index: name in [APP/views/elements/admin_dish_form.ctp, line 3]
2009-10-03 16:03:54 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 4]
2009-10-03 16:03:54 Notice: Notice (8): Undefined index: description in [APP/views/elements/admin_dish_form.ctp, line 6]
2009-10-03 16:03:54 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 2]
2009-10-03 16:03:54 Notice: Notice (8): Undefined index: name in [APP/views/elements/admin_dish_form.ctp, line 3]
2009-10-03 16:03:54 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 4]
2009-10-03 16:03:54 Notice: Notice (8): Undefined index: description in [APP/views/elements/admin_dish_form.ctp, line 6]
2009-10-03 16:03:57 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 2]
2009-10-03 16:03:57 Notice: Notice (8): Undefined index: name in [APP/views/elements/admin_dish_form.ctp, line 3]
2009-10-03 16:03:57 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 4]
2009-10-03 16:03:57 Notice: Notice (8): Undefined index: description in [APP/views/elements/admin_dish_form.ctp, line 6]
2009-10-03 16:20:27 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 2]
2009-10-03 16:20:27 Notice: Notice (8): Undefined index: name in [APP/views/elements/admin_dish_form.ctp, line 3]
2009-10-03 16:20:27 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 4]
2009-10-03 16:20:27 Notice: Notice (8): Undefined index: description in [APP/views/elements/admin_dish_form.ctp, line 6]
2009-10-03 16:20:53 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/dgroups_controller.php, line 32]
2009-10-03 16:21:09 Notice: Notice (8): Undefined variable: dgroup in [APP/views/dgroups/admin_new.ctp, line 2]
2009-10-03 16:21:15 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/dgroups_controller.php, line 32]
2009-10-03 17:39:16 Notice: Notice (8): Undefined variable: dgroups in [APP/views/menus/index.ctp, line 3]
2009-10-03 17:41:29 Notice: Notice (8): Undefined offset: 0 in [APP/models/dgroup.php, line 11]
2009-10-03 17:41:29 Notice: Notice (8): Undefined variable: dgroups in [APP/views/menus/index.ctp, line 3]
2009-10-03 17:42:07 Notice: Notice (8): Undefined offset: 0 in [APP/models/dgroup.php, line 11]
2009-10-03 17:42:07 Notice: Notice (8): Undefined index: Name in [APP/views/menus/index.ctp, line 4]
2009-10-03 17:42:39 Notice: Notice (8): Undefined offset: 0 in [APP/models/dgroup.php, line 11]
2009-10-03 17:42:39 Notice: Notice (8): Undefined index: Name in [APP/views/menus/index.ctp, line 5]
2009-10-03 17:43:54 Notice: Notice (8): Undefined offset: 0 in [APP/models/dgroup.php, line 11]
2009-10-03 17:43:54 Notice: Notice (8): Undefined index: Name in [APP/views/menus/index.ctp, line 6]
2009-10-03 17:44:19 Notice: Notice (8): Undefined offset: 0 in [APP/models/dgroup.php, line 11]
2009-10-03 17:44:19 Notice: Notice (8): Undefined index: Name in [APP/views/menus/index.ctp, line 5]
2009-10-03 17:45:01 Notice: Notice (8): Undefined offset: 0 in [APP/models/dgroup.php, line 11]
2009-10-03 17:45:14 Notice: Notice (8): Undefined offset: 0 in [APP/models/dgroup.php, line 11]
2009-10-03 17:45:15 Notice: Notice (8): Undefined offset: 0 in [APP/models/dgroup.php, line 11]
2009-10-03 17:45:15 Notice: Notice (8): Undefined offset: 0 in [APP/models/dgroup.php, line 11]
2009-10-03 17:45:18 Notice: Notice (8): Undefined offset: 0 in [APP/models/dgroup.php, line 11]
2009-10-03 17:45:24 Notice: Notice (8): Trying to get property of non-object in [APP/controllers/dgroups_controller.php, line 32]
2009-10-03 17:45:26 Notice: Notice (8): Undefined offset: 0 in [APP/models/dgroup.php, line 11]
2009-10-03 17:45:26 Notice: Notice (8): Undefined offset: 0 in [APP/models/dgroup.php, line 11]
2009-10-03 17:45:38 Notice: Notice (8): Undefined offset: 0 in [APP/models/dgroup.php, line 11]
2009-10-03 17:47:51 Notice: Notice (8): Undefined offset: 0 in [APP/models/dgroup.php, line 11]
2009-10-03 18:27:52 Notice: Notice (8): Undefined offset: 0 in [APP/models/dgroup.php, line 11]
2009-10-03 18:28:07 Notice: Notice (8): Undefined offset: 0 in [APP/models/dgroup.php, line 11]
2009-10-03 18:30:01 Notice: Notice (8): Undefined offset: 0 in [APP/models/dgroup.php, line 11]
2009-10-03 18:33:38 Notice: Notice (8): Undefined offset: 0 in [APP/models/dgroup.php, line 11]
2009-10-03 18:34:58 Notice: Notice (8): Undefined offset: 0 in [APP/models/dgroup.php, line 11]
2009-10-03 18:34:58 Notice: Notice (8): Undefined variable: d in [APP/views/menus/index.ctp, line 6]
